18.03642105,
16.46716346,
15.31937396,
14.23562774,
13.32920083,
12.66071916,
11.86125268,
11.26354943,
10.54281825,
10.1374835,
9.518776559,
9.179061779,
8.818965383,
8.402080976,
8.054155023,
7.642293803,
7.378049029,
7.075692093,
6.792264278,
6.529952557,
6.278336789,
5.99034531,
5.82911259,
5.546905738,
5.325696849,
5.102551209,
4.946354831,
4.779381809,
4.638190633,
4.401842114,
4.229535567,
4.134972458,
3.967935247,
3.793288885,
3.656567183,
3.548341811,
3.427901279,
3.322367823,
3.197369745,
3.073429093,
2.972055703,
2.848171048,
2.712378931,
2.639593005,
2.545217937,
2.429731706,
2.371001553,
2.282555137,
2.188479224,
2.109774437,
2.032876803,
1.948853442,
1.88673413,
1.796441342,
1.722922444,
1.648956953,
1.586951517,
1.527678142,
1.457496255,
1.368612018,
1.301874155,
1.258227061,
1.184516988,
1.159037101,
1.07479213,
1.032740116,
0.973409924,
0.919428731,
0.860712819,
0.824831268,
0.772015638,
0.71619748,
0.672503613,
0.629049079,
0.565964477,
0.539575775,
0.484677481,
0.428769825,
0.382096163,
0.339831815,
0.283801265,
0.245049376,
0.204857767,
0.177546339,
0.102457948,
0.076622672,
0.025413256,
-0.019518321,
-0.051476867,
-0.113293458,
-0.181127409,
-0.210778089,
-0.259601603,
-0.302947704,
-0.335069526,
-0.380298231,
-0.426776859,
-0.467840725,
-0.527824775,
-0.581735813,
-0.641375371,
-0.671866433,
-0.733600692,
-0.783406328,
-0.821160471,
-0.865101523,
-0.910644601,
-0.993063687,
-1.038374119,
-1.108843654,
-1.132228017,
-1.191249446,
-1.264546166,
-1.315997412,
-1.384586439,
-1.458959395,
-1.543050999,
-1.580639699,
-1.640496622,
-1.69673641,
-1.783955125,
-1.8718309,
-1.936653879,
-2.014012937,
-2.106561609,
-2.199469857,
-2.285117477,
-2.364367202,
-2.44769725,
-2.512255565,
-2.642011538,
-2.746158311,
-2.857669216,
-2.958143964,
-3.059093543,
-3.184268769,
-3.287120868,
-3.420902699,
-3.546771927,
-3.655133632,
-3.802794057,
-3.948814336,
-4.107965108,
-4.257536886,
-4.413731833,
-4.621635563,
-4.78240642,
-4.946987125,
-5.120794526,
-5.357847971,
-5.558198715,
-5.762855925,
-6.022864585,
-6.285467762,
-6.52847,
-6.798388268,
-7.081707541,
-7.408924864,
-7.746833346,
-8.046405822,
-8.394291841,
-8.857735809,
-9.155767496,
-9.651017368,
-10.14680331,
-10.48471988,
-11.31716556,
-11.82488572,
-12.65276923,
-13.29776564,
-14.28591273,
-15.33941289,
-16.46089677,
-17.99445011,
